Fs = 100.0
0. [0] = 0.0
1. [1] = 0.78125
2. [2] = 1.5625
3. [3] = 2.34375
4. [4] = 3.125
5. [5] = 3.90625
6. [6] = 4.6875
7. [7] = 5.46875
8. [8] = 6.25
9. [9] = 7.03125
10. [10] = 7.8125
11. [11] = 8.59375
12. [12] = 9.375
13. [13] = 10.15625
14. [14] = 10.9375
15. [15] = 11.71875
16. [16] = 12.5
17. [17] = 13.28125
18. [18] = 14.0625
19. [19] = 14.84375
20. [20] = 15.625
21. [21] = 16.40625
22. [22] = 17.1875
23. [23] = 17.96875
24. [24] = 18.75
25. [25] = 19.53125
26. [26] = 20.3125
27. [27] = 21.09375
28. [28] = 21.875
29. [29] = 22.65625
30. [30] = 23.4375
31. [31] = 24.21875
32. [32] = 25.0
33. [33] = 25.78125
34. [34] = 26.5625
35. [35] = 27.34375
36. [36] = 28.125
37. [37] = 28.90625
38. [38] = 29.6875
39. [39] = 30.46875
40. [40] = 31.25
41. [41] = 32.03125
42. [42] = 32.8125
43. [43] = 33.59375
44. [44] = 34.375
45. [45] = 35.15625
46. [46] = 35.9375
47. [47] = 36.71875
48. [48] = 37.5
49. [49] = 38.28125
50. [50] = 39.0625
51. [51] = 39.84375
52. [52] = 40.625
53. [53] = 41.40625
54. [54] = 42.1875
55. [55] = 42.96875
56. [56] = 43.75
57. [57] = 44.53125
58. [58] = 45.3125
59. [59] = 46.09375
60. [60] = 46.875
61. [61] = 47.65625
62. [62] = 48.4375
63. [63] = 49.21875
