Fs = 100.0
0. [0] = 25.425683821487794
1. [1] = 25.58710218828837
2. [2] = 26.110633949615874
3. [3] = 27.152572041992727
4. [4] = 29.21497099804849
5. [5] = 34.52676322620664
6. [6] = 30.35429113260569
7. [7] = 26.423532407263334
8. [8] = 24.146290897262045
9. [9] = 22.494303952698218
10. [10] = 21.178900521838028
11. [11] = 20.076742521672955
12. [12] = 19.123199075411762
13. [13] = 18.279922771718077
14. [14] = 17.522161343247827
15. [15] = 16.83293314029706
16. [16] = 16.200037144441886
17. [17] = 15.614384797013939
18. [18] = 15.069007129193734
19. [19] = 14.558432438195698
20. [20] = 14.07827933700959
21. [21] = 13.624981075092892
22. [22] = 13.195593125917139
23. [23] = 12.787655419794024
24. [24] = 12.399091508227716
25. [25] = 12.028133337282272
26. [26] = 11.673264185671794
27. [27] = 11.333174749978847
28. [28] = 11.00672891968921
29. [29] = 10.692936812359699
30. [30] = 10.390933330849304
31. [31] = 10.099960979263907
32. [32] = 9.819356005488222
33. [33] = 9.548537173149965
34. [34] = 9.286996634708661
35. [35] = 9.034292499999172
36. [36] = 8.790042784501985
37. [37] = 8.553920487892606
38. [38] = 8.32564960230264
39. [39] = 8.105001885635794
40. [40] = 7.891794261182309
41. [41] = 7.685886722966836
42. [42] = 7.487180638368186
43. [43] = 7.295617346766169
44. [44] = 7.111176956199287
45. [45] = 6.933877240394723
46. [46] = 6.763772536768082
47. [47] = 6.600952542978817
48. [48] = 6.445540906658563
49. [49] = 6.297693501280289
50. [50] = 6.157596281995291
51. [51] = 6.025462620646163
52. [52] = 5.9015300306167795
53. [53] = 5.786056211111745
54. [54] = 5.679314368803162
55. [55] = 5.581587811875943
56. [56] = 5.493163858684258
57. [57] = 5.41432715746919
58. [58] = 5.345352571951061
59. [59] = 5.286497846211406
60. [60] = 5.237996313737336
61. [61] = 5.200049954843101
62. [62] = 5.172823125705155
63. [63] = 5.156437277372335
