Fs = 100.0
0. [0] = 348.7934993420654
1. [1] = 362.00137391606444
2. [2] = 408.37899400043335
3. [3] = 519.1073812395879
4. [4] = 834.6359746046452
5. [5] = 2835.8047303916737
6. [6] = 1084.998438750531
7. [7] = 438.887529196546
8. [8] = 259.79398384906204
9. [9] = 177.59486127480756
10. [10] = 131.18677390254237
11. [11] = 101.78276677094732
12. [12] = 81.71840992328909
13. [13] = 67.29646892041443
14. [14] = 56.52181956541569
15. [15] = 48.22734057179254
16. [16] = 41.687294889597446
17. [17] = 36.428264369233226
18. [18] = 32.129259253396526
19. [19] = 28.565592980665794
20. [20] = 25.57572382884805
21. [21] = 23.040829357140165
22. [22] = 20.871771550128848
23. [23] = 19.000522416547835
24. [24] = 17.374373397571297
25. [25] = 15.951933618723286
26. [26] = 14.700307472329081
27. [27] = 13.593067546594103
28. [28] = 12.608774913948471
29. [29] = 11.729883026457745
30. [30] = 10.941914908218067
31. [31] = 10.2328379818134
32. [32] = 9.592583771331624
33. [33] = 9.012675140428136
34. [34] = 8.485934269365819
35. [35] = 8.006251897174778
36. [36] = 7.568403509936725
37. [37] = 7.1679018315802425
38. [38] = 6.8008776251439995
39. [39] = 6.463982746550595
40. [40] = 6.154310817942577
41. [41] = 5.869331947691768
42. [42] = 5.606838719793244
43. [43] = 5.364901277411235
44. [44] = 5.141829784389137
45. [45] = 4.936142901417019
46. [46] = 4.7465411865880185
47. [47] = 4.571884542775216
48. [48] = 4.411173001368921
49. [49] = 4.263530264261076
50. [50] = 4.1281895314833355
51. [51] = 4.004481227299074
52. [52] = 3.8918223074473306
53. [53] = 3.7897068881824705
54. [54] = 3.6976979872003466
55. [55] = 3.615420208434792
56. [56] = 3.5425532401199815
57. [57] = 3.478826068153819
58. [58] = 3.4240118354794395
59. [59] = 3.3779233037101943
60. [60] = 3.3404088942276826
61. [61] = 3.311349303493957
62. [62] = 3.2906546995190955
63. [63] = 3.2782625142654163
