Fs = 100.0
0. Vim[0] = -0.0
1. Vim[1] = -0.0
2. Vim[2] = -0.0
3. Vim[3] = 0.0
4. Vim[4] = 0.0
5. Vim[5] = 0.0
6. Vim[6] = 0.0
7. Vim[7] = 0.0
8. Vim[8] = 0.0
9. Vim[9] = 0.0
10. Vim[10] = 0.0
11. Vim[11] = 0.0
12. Vim[12] = 0.0
13. Vim[13] = 0.0
14. Vim[14] = 0.0
15. Vim[15] = 0.0
16. Vim[16] = -0.0
17. Vim[17] = -0.0
18. Vim[18] = -0.0
19. Vim[19] = -0.0
20. Vim[20] = -0.0
21. Vim[21] = -0.0
22. Vim[22] = -0.0
23. Vim[23] = -0.0
24. Vim[24] = -0.0
25. Vim[25] = -0.0
26. Vim[26] = -0.0
27. Vim[27] = -0.0
28. Vim[28] = 0.0
29. Vim[29] = 0.0
30. Vim[30] = 0.0
31. Vim[31] = 0.0
32. Vim[32] = 0.0
33. Vim[33] = 0.0
34. Vim[34] = 0.0
35. Vim[35] = 0.0
36. Vim[36] = 0.0
37. Vim[37] = 0.0
38. Vim[38] = 0.0
39. Vim[39] = 0.0
40. Vim[40] = 0.0
41. Vim[41] = -0.0
42. Vim[42] = -0.0
43. Vim[43] = -0.0
44. Vim[44] = -0.0
45. Vim[45] = -0.0
46. Vim[46] = -0.0
47. Vim[47] = -0.0
48. Vim[48] = -0.0
49. Vim[49] = -0.0
50. Vim[50] = -0.0
51. Vim[51] = -0.0
52. Vim[52] = -0.0
53. Vim[53] = 0.0
54. Vim[54] = 0.0
55. Vim[55] = 0.0
56. Vim[56] = 0.0
57. Vim[57] = 0.0
58. Vim[58] = 0.0
59. Vim[59] = 0.0
60. Vim[60] = 0.0
61. Vim[61] = 0.0
62. Vim[62] = 0.0
63. Vim[63] = 0.0
64. Vim[64] = 0.0
65. Vim[65] = 0.0
66. Vim[66] = -0.0
67. Vim[67] = -0.0
68. Vim[68] = -0.0
69. Vim[69] = -0.0
70. Vim[70] = -0.0
71. Vim[71] = -0.0
72. Vim[72] = -0.0
73. Vim[73] = -0.0
74. Vim[74] = -0.0
75. Vim[75] = -0.0
76. Vim[76] = -0.0
77. Vim[77] = -0.0
78. Vim[78] = 0.0
79. Vim[79] = 0.0
80. Vim[80] = 0.0
81. Vim[81] = 0.0
82. Vim[82] = 0.0
83. Vim[83] = 0.0
84. Vim[84] = 0.0
85. Vim[85] = 0.0
86. Vim[86] = 0.0
87. Vim[87] = 0.0
88. Vim[88] = 0.0
89. Vim[89] = 0.0
90. Vim[90] = 0.0
91. Vim[91] = -0.0
92. Vim[92] = -0.0
93. Vim[93] = -0.0
94. Vim[94] = -0.0
95. Vim[95] = -0.0
96. Vim[96] = -0.0
97. Vim[97] = -0.0
98. Vim[98] = -0.0
99. Vim[99] = -0.0
100. Vim[100] = -0.0
101. Vim[101] = -0.0
102. Vim[102] = -0.0
103. Vim[103] = 0.0
104. Vim[104] = 0.0
105. Vim[105] = 0.0
106. Vim[106] = 0.0
107. Vim[107] = 0.0
108. Vim[108] = 0.0
109. Vim[109] = 0.0
110. Vim[110] = 0.0
111. Vim[111] = 0.0
112. Vim[112] = 0.0
113. Vim[113] = 0.0
114. Vim[114] = 0.0
115. Vim[115] = 0.0
116. Vim[116] = -0.0
117. Vim[117] = -0.0
118. Vim[118] = -0.0
119. Vim[119] = -0.0
120. Vim[120] = -0.0
121. Vim[121] = -0.0
122. Vim[122] = -0.0
123. Vim[123] = -0.0
124. Vim[124] = -0.0
125. Vim[125] = -0.0
126. Vim[126] = -0.0
127. Vim[127] = -0.0
128. Vim[128] = -0.0
129. Vim[129] = -0.01484100996261396
130. Vim[130] = -0.026653613924488867
131. Vim[131] = 0.017200503416164453
132. Vim[132] = 0.16517043019255997
133. Vim[133] = 0.4506595735515626
134. Vim[134] = 0.8829071793113812
135. Vim[135] = 1.4409850941078655
136. Vim[136] = 2.0719288399152087
137. Vim[137] = 2.693531447549777
138. Vim[138] = 3.2017596738590135
139. Vim[139] = 3.4821690383201167
140. Vim[140] = 3.4241631630805562
141. Vim[141] = 2.9365263573397478
142. Vim[142] = 1.962407166081248
143. Vim[143] = 0.49187863831489403
144. Vim[144] = -1.4296386914955073
145. Vim[145] = -3.6984425609996174
146. Vim[146] = -6.155922248172782
147. Vim[147] = -8.598406909041733
148. Vim[148] = -10.792952801257565
149. Vim[149] = -12.497850734994165
150. Vim[150] = -13.486047903999806
151. Vim[151] = -13.569252817769858
152. Vim[152] = -12.620280136811765
153. Vim[153] = -10.591225033786964
154. Vim[154] = -7.5253411237308425
155. Vim[155] = -3.5610130923066796
156. Vim[156] = 1.073078644374104
157. Vim[157] = 6.07167302299439
158. Vim[158] = 11.074718720819336
159. Vim[159] = 15.695600554323821
160. Vim[160] = 19.553454530843748
161. Vim[161] = 22.306718453042595
162. Vim[162] = 23.684819298393265
163. Vim[163] = 23.514946633710096
164. Vim[164] = 21.74120857932122
165. Vim[165] = 18.434089309222674
166. Vim[166] = 13.78897281400846
167. Vim[167] = 8.113491133519096
168. Vim[168] = 1.8045041938660253
169. Vim[169] = -4.683477648445636
170. Vim[170] = -10.875757100003739
171. Vim[171] = -16.317499419150323
172. Vim[172] = -20.612737795873134
173. Vim[173] = -23.45871323424191
174. Vim[174] = -24.67228316763111
175. Vim[175] = -24.205810161049495
176. Vim[176] = -22.150883398597212
177. Vim[177] = -18.729346836500188
178. Vim[178] = -14.272304995506007
179. Vim[179] = -9.188936527514889
180. Vim[180] = -3.927953985143937
181. Vim[181] = 1.06469538826349
182. Vim[182] = 5.387867596976523
183. Vim[183] = 8.722932700394772
184. Vim[184] = 10.86344008343859
185. Vim[185] = 11.733735766306902
186. Vim[186] = 11.394553022118311
187. Vim[187] = 10.03483688214905
188. Vim[188] = 7.950402838982416
189. Vim[189] = 5.511342479644917
190. Vim[190] = 3.121245674234812
191. Vim[191] = 1.17219396608051
192. Vim[192] = 1.7317824507254295E-15
193. Vim[193] = -0.15573685108371402
194. Vim[194] = 0.8174614321194865
195. Vim[195] = 2.8865263039181417
196. Vim[196] = 5.869213288592526
197. Vim[197] = 9.446187476764289
198. Vim[198] = 13.188216032944933
199. Vim[199] = 16.59634376436097
200. Vim[200] = 19.15156902266268
201. Vim[201] = 20.36947126572827
202. Vim[202] = 19.85457975525813
203. Vim[203] = 17.349090888845694
204. Vim[204] = 12.770871743786735
205. Vim[205] = 6.236513941441872
206. Vim[206] = -1.9335382182245229
207. Vim[207] = -11.22917419186958
208. Vim[208] = -20.98373229235836
209. Vim[209] = -30.42385668719707
210. Vim[210] = -38.73225092621881
211. Vim[211] = -45.118125968380795
212. Vim[212] = -48.88922177850693
213. Vim[213] = -49.51889907298093
214. Vim[214] = -46.70200305019814
215. Vim[215] = -40.39399204073084
216. Vim[216] = -30.829144689330313
217. Vim[217] = -18.515402843158796
218. Vim[218] = -4.205425354464502
219. Vim[219] = 11.154456848544765
220. Vim[220] = 26.493672382371436
221. Vim[221] = 40.69977394133761
222. Vim[222] = 52.70698530289381
223. Vim[223] = 61.58345689703896
224. Vim[224] = 66.60968430490358
225. Vim[225] = 67.34114481747179
226. Vim[226] = 63.64944033958934
227. Vim[227] = 55.73800199321083
228. Vim[228] = 44.13056382042945
229. Vim[229] = 29.632963304130914
230. Vim[230] = 13.271166928075749
231. Vim[231] = -3.7894611256581583
232. Vim[232] = -20.33692412111436
233. Vim[233] = -35.20953856987024
234. Vim[234] = -47.38876222241701
235. Vim[235] = -56.079894974141304
236. Vim[236] = -60.773650667451555
237. Vim[237] = -61.2832411862197
238. Vim[238] = -57.75375292336908
239. Vim[239] = -50.64304181863268
240. Vim[240] = -40.675908439527
241. Vim[241] = -28.775709862785696
242. Vim[242] = -15.979601209518876
243. Vim[243] = -3.34508757290441
244. Vim[244] = 8.143634363617782
245. Vim[245] = 17.661036118073138
246. Vim[246] = 24.609559100591717
247. Vim[247] = 28.666565679405846
248. Vim[248] = 29.80470359152544
249. Vim[249] = 28.283909795601073
250. Vim[250] = 24.61592419268736
251. Vim[251] = 19.504767245974612
252. Vim[252] = 13.768918151606666
253. Vim[253] = 8.252696457541782
254. Vim[254] = 3.7354295956709755
255. Vim[255] = 0.8472728193195578
256. Vim[256] = -0.0
257. Vim[257] = -0.029646266632309036
258. Vim[258] = -0.05305053897653742
259. Vim[259] = 0.034028667877677686
260. Vim[260] = 0.3239934533814643
261. Vim[261] = 0.8743077417926821
262. Vim[262] = 1.6897789851812213
263. Vim[263] = 2.713501926748915
264. Vim[264] = 3.828425296035031
265. Vim[265] = 4.869847178552575
266. Vim[266] = 5.647399879418636
267. Vim[267] = 5.973512018048596
268. Vim[268] = 5.6941752353344945
269. Vim[269] = 4.717280173213418
270. Vim[270] = 3.0339225062694988
271. Vim[271] = 0.7289160611949713
272. Vim[272] = -2.0218144268062717
273. Vim[273] = -4.967444441653266
274. Vim[274] = -7.810551464148768
275. Vim[275] = -10.24413003091819
276. Vim[276] = -11.992486605528466
277. Vim[277] = -12.850358718755547
278. Vim[278] = -12.71455794924919
279. Vim[279] = -11.603206312561422
280. Vim[280] = -9.659144240328182
281. Vim[281] = -7.1361524977530015
282. Vim[282] = -4.368982438663881
283. Vim[283] = -1.730511203613111
284. Vim[284] = 0.4186945165591488
285. Vim[285] = 1.7817989268035748
286. Vim[286] = 2.1710245179379255
287. Vim[287] = 1.5402932327456094
288. Vim[288] = 2.3946075503471108E-15
289. Vim[289] = -2.1890775927345993
290. Vim[290] = -4.643036513701797
291. Vim[291] = -6.900718552713582
292. Vim[292] = -8.482998765519172
293. Vim[293] = -8.958236673415517
294. Vim[294] = -8.005455045969999
295. Vim[295] = -5.4667056769406495
296. Vim[296] = -1.3811077172516997
297. Vim[297] = 4.004889447119622
298. Vim[298] = 10.253592814907876
299. Vim[299] = 16.77774245951296
300. Vim[300] = 22.903647080850387
301. Vim[301] = 27.94867831585069
302. Vim[302] = 31.303861493057852
303. Vim[303] = 32.51125714595948
304. Vim[304] = 31.326079720841214
305. Vim[305] = 27.75506123133631
306. Vim[306] = 22.065281910214708
307. Vim[307] = 14.761246050395124
308. Vim[308] = 6.531948754339734
309. Vim[309] = -1.8264393908978864
310. Vim[310] = -9.503350006534136
311. Vim[311] = -15.770875531586478
312. Vim[312] = -20.073019891503236
313. Vim[313] = -22.095658546384012
314. Vim[314] = -21.807814789008702
315. Vim[315] = -19.468210792787744
316. Vim[316] = -15.595276155500015
317. Vim[317] = -10.903381038471602
318. Vim[318] = -6.212432046380297
319. Vim[319] = -2.3415640142246668
320. Vim[320] = -3.463564901450859E-15
321. Vim[321] = 0.3110985184522303
322. Vim[322] = -1.6270502637777877
323. Vim[323] = -5.710568030462571
324. Vim[324] = -11.512876001997173
