Fs = 100.0
0. Vim[0] = 0.0
1. Vim[1] = 0.13761429826558955
2. Vim[2] = 0.2861740195384085
3. Vim[3] = 0.45998665825517204
4. Vim[4] = 0.6823605623155745
5. Vim[5] = 0.9986606378878855
6. Vim[6] = 1.5139859260326158
7. Vim[7] = 2.531677659188234
8. Vim[8] = 5.290815312156469
9. Vim[9] = 20.529640112129318
10. Vim[10] = -296.34285569001077
11. Vim[11] = 20.922499788038714
12. Vim[12] = 6.116982921686632
13. Vim[13] = 3.8854849682029347
14. Vim[14] = 3.5798992721715437
15. Vim[15] = 4.14119873384975
16. Vim[16] = 5.69380755770194
17. Vim[17] = 9.405013084650484
18. Vim[18] = 20.725612253999934
19. Vim[19] = 100.02974323496382
20. Vim[20] = -296.1925975297966
21. Vim[21] = 100.2458309387962
22. Vim[22] = 21.178306459677696
23. Vim[23] = 10.142431303095277
24. Vim[24] = 6.810996492316853
25. Vim[25] = 5.8291214333452865
26. Vim[26] = 6.265379021736314
27. Vim[27] = 8.741211969312452
28. Vim[28] = 18.029778757228765
29. Vim[29] = 129.0009806997013
30. Vim[30] = -97.58501524622015
31. Vim[31] = 128.80311492917303
32. Vim[32] = 17.59676212004978
33. Vim[33] = 7.985243367668295
34. Vim[34] = 5.012327378978756
35. Vim[35] = 3.7293413413308953
36. Vim[36] = 3.092760016941038
37. Vim[37] = 2.7690618509274176
38. Vim[38] = 2.627112146433099
39. Vim[39] = 2.6110957582502246
40. Vim[40] = 2.700510409289437
41. Vim[41] = 2.897215149176997
42. Vim[42] = 3.2246038415564864
43. Vim[43] = 3.737432530250105
44. Vim[44] = 4.551188756890152
45. Vim[45] = 5.925414603116714
46. Vim[46] = 8.542337758241342
47. Vim[47] = 14.789661971741463
48. Vim[48] = 40.657642511682745
49. Vim[49] = -162.24941760738386
50. Vim[50] = -56.1334223214008
51. Vim[51] = -161.22549390248633
52. Vim[52] = 42.837106775029085
53. Vim[53] = 18.437382469862488
54. Vim[54] = 14.29129602111811
55. Vim[55] = 15.102006492437837
56. Vim[56] = 20.35633140894025
57. Vim[57] = 36.56091901458677
58. Vim[58] = 130.61207540923044
59. Vim[59] = -175.22219705271522
60. Vim[60] = -95.91812149747855
61. Vim[61] = -174.98570148671357
62. Vim[62] = 131.1126652455142
63. Vim[63] = 37.393051094406104
64. Vim[64] = 21.66403956265673
65. Vim[65] = 17.21619762541764
66. Vim[66] = 18.14880005522114
67. Vim[67] = 28.17915401991162
68. Vim[68] = 143.8576306408377
69. Vim[69] = -58.63433799280351
70. Vim[70] = -38.5404178188194
71. Vim[71] = -59.46032736586642
72. Vim[72] = 142.07740253021814
73. Vim[73] = 25.138939215139875
74. Vim[74] = 13.226685685798685
75. Vim[75] = 9.101805931978344
76. Vim[76] = 7.17876434912205
77. Vim[77] = 6.177801956881092
78. Vim[78] = 5.6642171444046125
79. Vim[79] = 5.463064585135899
80. Vim[80] = 5.506080684392505
81. Vim[81] = 5.785211600980541
82. Vim[82] = 6.346127000597016
83. Vim[83] = 7.313400789274803
84. Vim[84] = 8.978022739794007
85. Vim[85] = 12.092343172059945
86. Vim[86] = 19.198508871240183
87. Vim[87] = 46.66566155739521
88. Vim[88] = -152.75327148522877
89. Vim[89] = -36.00818015669733
90. Vim[90] = -27.134875970427395
91. Vim[91] = -34.22169562411331
92. Vim[92] = -148.9080350115937
93. Vim[93] = 53.23991656944352
94. Vim[94] = 29.956427591609046
95. Vim[95] = 30.503305513663747
96. Vim[96] = 45.96593343348188
97. Vim[97] = 141.56014762980794
98. Vim[98] = -159.39019824362776
99. Vim[99] = -65.33915938780432
100. Vim[100] = -54.018733458056474
101. Vim[101] = -65.0547822992613
102. Vim[102] = -158.77451490232815
103. Vim[103] = 142.63065222554013
104. Vim[104] = 47.79456742581104
105. Vim[105] = 33.97996956199681
106. Vim[106] = 39.12615987581289
107. Vim[107] = 153.26134154352357
108. Vim[108] = -48.488904664825306
109. Vim[109] = -23.687774885810875
110. Vim[110] = -20.513722521892188
111. Vim[111] = -25.270268362469867
112. Vim[112] = -51.922354490716195
113. Vim[113] = 147.31457420699655
114. Vim[114] = 29.22408035305445
115. Vim[115] = 16.671704146155896
116. Vim[116] = 12.182375827200804
117. Vim[117] = 10.069379729230949
118. Vim[118] = 9.009146235800415
119. Vim[119] = 8.554525279995776
120. Vim[120] = 8.543019964573292
121. Vim[121] = 8.950177304220153
122. Vim[122] = 9.86912349340341
123. Vim[123] = 11.58176191994421
124. Vim[124] = 14.8495292612586
125. Vim[125] = 22.246019986673648
126. Vim[126] = 50.210498439748065
127. Vim[127] = -148.34966506667524
128. Vim[128] = -30.00547398788909
129. Vim[129] = -17.644115574959788
130. Vim[130] = -14.101912497029298
131. Vim[131] = -14.822949896801381
132. Vim[132] = -23.82449290282594
133. Vim[133] = -137.39467170275248
134. Vim[134] = 69.44616901766769
135. Vim[135] = 60.81452175742251
136. Vim[136] = 151.70121272093712
137. Vim[137] = -149.9911695921671
138. Vim[138] = -54.39715021212912
139. Vim[139] = -38.19287550321663
140. Vim[140] = -34.48203939338745
141. Vim[141] = -37.81384497568548
142. Vim[142] = -53.543172876706436
143. Vim[143] = -148.37945614975175
144. Vim[144] = 154.94004405000334
145. Vim[145] = 69.69791032169965
146. Vim[146] = 169.0858099235631
147. Vim[147] = -37.54868230960852
148. Vim[148] = -14.290930468769
149. Vim[149] = -10.375239284893913
150. Vim[150] = -10.424659755656048
151. Vim[151] = -12.982868847677322
152. Vim[152] = -20.04030141060669
153. Vim[153] = -47.844504260906504
154. Vim[154] = 150.75221490685843
155. Vim[155] = 32.297184956009
156. Vim[156] = 19.554766012516836
157. Vim[157] = 15.006077670731793
158. Vim[158] = 12.951955797042624
159. Vim[159] = 12.081279193548617
160. Vim[160] = 11.990708391785686
161. Vim[161] = 12.618926519144432
162. Vim[162] = 14.177714301185528
163. Vim[163] = 17.397060692391758
164. Vim[164] = 24.84147376556767
165. Vim[165] = 52.95930421010419
166. Vim[166] = -145.31062998893262
167. Vim[167] = -26.469209675370095
168. Vim[168] = -13.249179083904426
169. Vim[169] = -8.10797445138043
170. Vim[170] = -5.341056670713728
171. Vim[171] = -3.713676854687012
172. Vim[172] = -3.318654452828742
173. Vim[173] = -7.627409994918
174. Vim[174] = -106.54584965563969
175. Vim[175] = 190.6347006113933
176. Vim[176] = -135.15206130694006
177. Vim[177] = -44.265670529159244
178. Vim[178] = -28.80353858788045
179. Vim[179] = -23.54982925477836
180. Vim[180] = -21.997894346485367
181. Vim[181] = -22.98044658756709
182. Vim[182] = -27.428913148621774
183. Vim[183] = -41.2440193195381
184. Vim[184] = -126.48646391158033
185. Vim[185] = 290.03542029891554
186. Vim[186] = -6.9875105119578835
187. Vim[187] = 1.522843630467904
188. Vim[188] = 0.5541720433183657
189. Vim[189] = -1.0387442423409752
190. Vim[190] = -2.8554335388328558
191. Vim[191] = -5.205860921564923
192. Vim[192] = -8.916308108167586
193. Vim[193] = -16.614072774558426
194. Vim[194] = -44.78293551454609
195. Vim[195] = 153.62361588592185
196. Vim[196] = 35.10909962464286
197. Vim[197] = 22.425427341708346
198. Vim[198] = 18.066167030388378
199. Vim[199] = 16.375965135644194
200. Vim[200] = 16.14488046392921
201. Vim[201] = 17.205807237058355
202. Vim[202] = 20.13429132151034
203. Vim[203] = 27.42471810651262
204. Vim[204] = 55.49399053684589
205. Vim[205] = -142.72815982095923
206. Vim[206] = -23.733527487326903
207. Vim[207] = -10.223409047606498
208. Vim[208] = -4.585118150274532
209. Vim[209] = -0.9596726955642682
210. Vim[210] = 2.2665626120240217
211. Vim[211] = 6.149392548336266
212. Vim[212] = 12.46941057443035
213. Vim[213] = 27.516021228465892
214. Vim[214] = 113.54682268696132
215. Vim[215] = -302.52688586301383
