Fs = 100.0
0. Vim[0] = 0.0
1. Vim[1] = 0.13761429826556082
2. Vim[2] = 0.28617401953837174
3. Vim[3] = 0.4599866582552039
4. Vim[4] = 0.6823605623156084
5. Vim[5] = 0.9986606378880953
6. Vim[6] = 1.5139859260327775
7. Vim[7] = 2.531677659188393
8. Vim[8] = 5.290815312156404
9. Vim[9] = 20.5296401121295
10. Vim[10] = -296.3428556900104
11. Vim[11] = 20.922499788038216
12. Vim[12] = 6.1169829216862475
13. Vim[13] = 3.885484968203336
14. Vim[14] = 3.579899272171149
15. Vim[15] = 4.141198733849356
16. Vim[16] = 5.693807557701884
17. Vim[17] = 9.405013084650644
18. Vim[18] = 20.725612253999984
19. Vim[19] = 100.02974323496409
20. Vim[20] = -296.1925975297969
21. Vim[21] = 100.24583093879573
22. Vim[22] = 21.178306459678243
23. Vim[23] = 10.142431303095538
24. Vim[24] = 6.810996492315937
25. Vim[25] = 5.829121433344525
26. Vim[26] = 6.26537902173612
27. Vim[27] = 8.74121196931194
28. Vim[28] = 18.029778757228325
29. Vim[29] = 129.00098069970088
30. Vim[30] = -97.58501524621987
31. Vim[31] = 128.80311492917326
32. Vim[32] = 17.59676212005037
33. Vim[33] = 7.985243367668366
34. Vim[34] = 5.012327378979279
35. Vim[35] = 3.7293413413308443
36. Vim[36] = 3.0927600169403107
37. Vim[37] = 2.7690618509280593
38. Vim[38] = 2.627112146432953
39. Vim[39] = 2.6110957582496432
40. Vim[40] = 2.7005104092887677
41. Vim[41] = 2.897215149179871
42. Vim[42] = 3.224603841556089
43. Vim[43] = 3.7374325302494302
44. Vim[44] = 4.551188756890912
45. Vim[45] = 5.925414603118361
46. Vim[46] = 8.542337758241056
47. Vim[47] = 14.789661971741694
48. Vim[48] = 40.65764251168238
49. Vim[49] = -162.24941760738363
50. Vim[50] = -56.13342232140066
51. Vim[51] = -161.22549390248636
52. Vim[52] = 42.83710677502895
53. Vim[53] = 18.43738246986164
54. Vim[54] = 14.291296021117802
55. Vim[55] = 15.102006492438047
56. Vim[56] = 20.35633140893928
57. Vim[57] = 36.56091901458744
58. Vim[58] = 130.6120754092299
59. Vim[59] = -175.2221970527146
60. Vim[60] = -95.91812149747892
61. Vim[61] = -174.98570148671433
62. Vim[62] = 131.11266524551317
63. Vim[63] = 37.393051094405934
64. Vim[64] = 21.664039562655816
65. Vim[65] = 17.216197625416903
66. Vim[66] = 18.14880005521936
67. Vim[67] = 28.179154019910406
68. Vim[68] = 143.85763064083648
69. Vim[69] = -58.634337992802266
70. Vim[70] = -38.54041781882036
71. Vim[71] = -59.460327365867
72. Vim[72] = 142.0774025302202
73. Vim[73] = 25.13893921514152
74. Vim[74] = 13.226685685797534
75. Vim[75] = 9.101805931975974
76. Vim[76] = 7.178764349119454
77. Vim[77] = 6.177801956881233
78. Vim[78] = 5.664217144404434
79. Vim[79] = 5.463064585135751
80. Vim[80] = 5.506080684390465
81. Vim[81] = 5.785211600982137
82. Vim[82] = 6.346127000601939
83. Vim[83] = 7.313400789276173
84. Vim[84] = 8.978022739793348
85. Vim[85] = 12.092343172059774
86. Vim[86] = 19.198508871242034
87. Vim[87] = 46.665661557395026
88. Vim[88] = -152.75327148522894
89. Vim[89] = -36.00818015669927
90. Vim[90] = -27.1348759704283
91. Vim[91] = -34.22169562411126
92. Vim[92] = -148.9080350115941
93. Vim[93] = 53.23991656944278
94. Vim[94] = 29.956427591610392
95. Vim[95] = 30.50330551366482
96. Vim[96] = 45.96593343348067
97. Vim[97] = 141.56014762980797
98. Vim[98] = -159.39019824362765
99. Vim[99] = -65.33915938780687
100. Vim[100] = -54.01873345805778
101. Vim[101] = -65.05478229926189
102. Vim[102] = -158.77451490233227
103. Vim[103] = 142.63065222553652
104. Vim[104] = 47.794567425811536
105. Vim[105] = 33.979969561994196
106. Vim[106] = 39.12615987580878
107. Vim[107] = 153.26134154352036
108. Vim[108] = -48.488904664823586
109. Vim[109] = -23.687774885811
110. Vim[110] = -20.513722521890088
111. Vim[111] = -25.270268362468777
112. Vim[112] = -51.922354490716515
113. Vim[113] = 147.31457420699854
114. Vim[114] = 29.224080353057843
115. Vim[115] = 16.67170414615545
116. Vim[116] = 12.182375827199708
117. Vim[117] = 10.069379729229587
118. Vim[118] = 9.009146235802664
119. Vim[119] = 8.554525279996383
120. Vim[120] = 8.543019964573674
121. Vim[121] = 8.950177304218894
122. Vim[122] = 9.869123493403634
123. Vim[123] = 11.581761919950253
124. Vim[124] = 14.849529261261154
125. Vim[125] = 22.24601998667392
126. Vim[126] = 50.21049843974847
127. Vim[127] = -148.34966506667354
128. Vim[128] = -30.005473987890724
129. Vim[129] = -17.644115574961983
130. Vim[130] = -14.101912497029797
131. Vim[131] = -14.822949896804325
132. Vim[132] = -23.82449290282554
133. Vim[133] = -137.39467170274798
134. Vim[134] = 69.4461690176638
135. Vim[135] = 60.81452175742011
136. Vim[136] = 151.70121272093934
137. Vim[137] = -149.99116959216497
138. Vim[138] = -54.39715021213142
139. Vim[139] = -38.19287550321589
140. Vim[140] = -34.482039393388156
141. Vim[141] = -37.813844975686514
142. Vim[142] = -53.5431728767107
143. Vim[143] = -148.37945614975604
144. Vim[144] = 154.94004405000294
145. Vim[145] = 69.69791032169931
146. Vim[146] = 169.08580992356437
147. Vim[147] = -37.548682309606846
148. Vim[148] = -14.290930468771169
149. Vim[149] = -10.375239284894203
150. Vim[150] = -10.424659755656414
151. Vim[151] = -12.982868847672755
152. Vim[152] = -20.040301410609082
153. Vim[153] = -47.8445042609123
154. Vim[154] = 150.75221490685703
155. Vim[155] = 32.29718495600877
156. Vim[156] = 19.554766012514655
157. Vim[157] = 15.006077670731631
158. Vim[158] = 12.95195579704189
159. Vim[159] = 12.081279193549353
160. Vim[160] = 11.990708391786587
161. Vim[161] = 12.618926519150712
162. Vim[162] = 14.177714301187223
163. Vim[163] = 17.397060692396565
164. Vim[164] = 24.84147376557894
165. Vim[165] = 52.959304210107234
166. Vim[166] = -145.31062998893378
167. Vim[167] = -26.469209675368987
168. Vim[168] = -13.249179083905222
169. Vim[169] = -8.107974451380745
170. Vim[170] = -5.341056670714501
171. Vim[171] = -3.7136768546888135
172. Vim[172] = -3.3186544528259514
173. Vim[173] = -7.627409994916388
174. Vim[174] = -106.5458496556353
175. Vim[175] = 190.63470061138804
176. Vim[176] = -135.15206130693412
177. Vim[177] = -44.265670529158015
178. Vim[178] = -28.803538587879437
179. Vim[179] = -23.54982925477843
180. Vim[180] = -21.99789434648777
181. Vim[181] = -22.980446587571635
182. Vim[182] = -27.428913148617184
183. Vim[183] = -41.24401931953905
184. Vim[184] = -126.48646391158132
185. Vim[185] = 290.0354202989116
186. Vim[186] = -6.9875105119520295
187. Vim[187] = 1.5228436304721837
188. Vim[188] = 0.5541720433201012
189. Vim[189] = -1.0387442423392361
190. Vim[190] = -2.855433538830397
191. Vim[191] = -5.205860921563136
192. Vim[192] = -8.91630810816811
193. Vim[193] = -16.61407277456091
194. Vim[194] = -44.78293551455329
195. Vim[195] = 153.62361588592083
196. Vim[196] = 35.109099624642525
197. Vim[197] = 22.425427341706108
198. Vim[198] = 18.066167030391004
199. Vim[199] = 16.375965135647107
200. Vim[200] = 16.14488046392864
201. Vim[201] = 17.20580723706643
202. Vim[202] = 20.134291321514098
203. Vim[203] = 27.424718106518355
204. Vim[204] = 55.49399053684951
205. Vim[205] = -142.7281598209486
206. Vim[206] = -23.733527487330402
207. Vim[207] = -10.223409047609255
208. Vim[208] = -4.5851181502684355
209. Vim[209] = -0.9596726955614656
210. Vim[210] = 2.266562612023435
211. Vim[211] = 6.149392548342813
212. Vim[212] = 12.469410574427691
213. Vim[213] = 27.516021228465554
214. Vim[214] = 113.54682268697347
215. Vim[215] = -302.52688586301053
216. Vim[216] = -5.346791724820008
217. Vim[217] = -13.979197070940927
218. Vim[218] = -13.433275789024684
219. Vim[219] = -12.623644892226224
220. Vim[220] = -12.063486977517186
221. Vim[221] = -11.628377968284402
222. Vim[222] = -10.696875282156164
223. Vim[223] = -5.551671878003424
224. Vim[224] = 93.83543530230709
225. Vim[225] = -203.18797900698817
226. Vim[226] = 122.456185102224
227. Vim[227] = 31.09889825573972
228. Vim[228] = 14.758405517038751
229. Vim[229] = 8.057172588024912
230. Vim[230] = 4.163066387568499
231. Vim[231] = 1.1939538171953608
232. Vim[232] = -1.7969930605644944
233. Vim[233] = -5.872289777177201
234. Vim[234] = -13.76041413716978
235. Vim[235] = -41.988957437698076
236. Vim[236] = 156.47614401070226
237. Vim[237] = 38.15085676541834
238. Vim[238] = 25.830903004925922
239. Vim[239] = 22.111030685953097
240. Vim[240] = 21.572119902004307
241. Vim[241] = 23.64109215605518
242. Vim[242] = 30.4334462902211
243. Vim[243] = 58.21164211699466
244. Vim[244] = -140.16471152579146
245. Vim[245] = -21.21885694918297
246. Vim[246] = -7.661177203965906
247. Vim[247] = -1.8698996632516653
248. Vim[248] = 2.045405373399163
249. Vim[249] = 5.768495739865784
250. Vim[250] = 10.509619153883367
251. Vim[251] = 18.4282554328735
252. Vim[252] = 36.96243328740793
253. Vim[253] = 133.62176483081083
254. Vim[254] = -168.48714009220896
255. Vim[255] = -82.45704471111975
256. Vim[256] = -181.3766499557546
257. Vim[257] = 25.462718042759526
258. Vim[258] = 2.177551571512012
259. Vim[259] = -1.9703421436341841
260. Vim[260] = -2.2778042850355185
261. Vim[261] = 0.19613779351230143
262. Vim[262] = 10.224642315221084
263. Vim[263] = 124.358080143921
264. Vim[264] = -82.27796820160714
265. Vim[265] = -73.76886704829306
266. Vim[266] = -165.12692728306197
267. Vim[267] = 135.66609601857897
268. Vim[268] = 38.575949793195484
269. Vim[269] = 19.93396491641265
270. Vim[270] = 12.080002226693903
271. Vim[271] = 7.545065701865177
272. Vim[272] = 4.210788348841678
273. Vim[273] = 1.0291620190781163
274. Vim[274] = -3.1061396066950344
275. Vim[275] = -10.93604294376805
276. Vim[276] = -38.97569101799334
277. Vim[277] = 159.85279030840456
278. Vim[278] = 42.16654746394306
279. Vim[279] = 30.997536181377136
280. Vim[280] = 29.577367017454197
281. Vim[281] = 34.76952458731971
282. Vim[282] = 61.68784423900055
283. Vim[283] = -137.18695184005222
284. Vim[284] = -18.532549198888212
285. Vim[285] = -5.129453725093082
286. Vim[286] = 0.612659306951052
287. Vim[287] = 4.575133018852938
288. Vim[288] = 8.450811404045709
289. Vim[289] = 13.48138966218463
290. Vim[290] = 21.89647002759559
291. Vim[291] = 41.28852402832271
292. Vim[292] = 139.54605000665583
293. Vim[293] = -159.07571815071674
294. Vim[294] = -62.41752987013621
295. Vim[295] = -47.37277556055662
296. Vim[296] = -51.683857419464935
297. Vim[297] = -165.25668206077256
298. Vim[298] = 36.888405350772615
299. Vim[299] = 12.485672782269784
300. Vim[300] = 10.25108254818686
301. Vim[301] = 19.53652745438654
302. Vim[302] = 135.2119082662034
303. Vim[303] = -66.54134348200182
