Fs = 100.0
0. Vre[0] = -11.687901622627383
1. Vre[1] = -11.833952177484253
2. Vre[2] = -12.290983286039108
3. Vre[3] = -13.121935972289315
4. Vre[4] = -14.456981255660342
5. Vre[5] = -16.551547578029748
6. Vre[6] = -19.937628454698515
7. Vre[7] = -25.889804583240014
8. Vre[8] = -38.36762098574061
9. Vre[9] = -79.57309248197936
10. Vre[10] = -0.00458363995611117
11. Vre[11] = 79.56405837933782
12. Vre[12] = 38.35899703900859
13. Vre[13] = 25.881901204951724
14. Vre[14] = 19.930817360359352
15. Vre[15] = 16.54629947090664
16. Vre[16] = 14.453920702323067
17. Vre[17] = 13.121925897402306
18. Vre[18] = 12.295261321453818
19. Vre[19] = 11.844360792045704
20. Vre[20] = 11.707295499726646
21. Vre[21] = 11.866959490105119
22. Vre[22] = 12.345522751567785
23. Vre[23] = 13.21248816506791
24. Vre[24] = 14.61238523429256
25. Vre[25] = 16.836207868582314
26. Vre[26] = 20.52088020093017
27. Vre[27] = 27.346368388391706
28. Vre[28] = 43.83523902811545
29. Vre[29] = 170.1341633628984
30. Vre[30] = -0.019984178847703482
31. Vre[31] = -170.1745345265869
32. Vre[32] = -43.876850866921714
33. Vre[33] = -27.390160319255155
34. Vre[34] = -20.567977964925568
35. Vre[35] = -16.88803839323867
36. Vre[36] = -14.670844298055261
37. Vre[37] = -13.280199297750015
38. Vre[38] = -12.426256451462951
39. Vre[39] = 221.47766335678367
40. Vre[40] = -11.83408030619776
41. Vre[41] = -245.45680453268548
42. Vre[42] = -12.529887994959513
43. Vre[43] = -13.46802158963286
44. Vre[44] = -15.002895666601617
45. Vre[45] = -17.506827819736387
46. Vre[46] = -21.873630806906398
47. Vre[47] = -30.9153458593305
48. Vre[48] = -61.58630308374147
49. Vre[49] = 131.80207284845127
50. Vre[50] = 0.010692837035426776
51. Vre[51] = -131.7800074095342
52. Vre[52] = 61.610462884166374
53. Vre[53] = 30.943188092818993
54. Vre[54] = 21.90706229075404
55. Vre[55] = 17.54827172397119
56. Vre[56] = 15.055581357974743
57. Vre[57] = 13.536434756714275
58. Vre[58] = 12.620504489871845
59. Vre[59] = 12.135337516914342
60. Vre[60] = 12.003764581908868
61. Vre[61] = 12.208196852147662
62. Vre[62] = 12.78392529969116
63. Vre[63] = 13.835720607109531
64. Vre[64] = 15.594513382209254
65. Vre[65] = 18.586703526870686
66. Vre[66] = 24.251495950222722
67. Vre[67] = 38.473954548039366
68. Vre[68] = 159.12127068576066
69. Vre[69] = -35.74906812794319
70. Vre[70] = -0.03605271393541256
71. Vre[71] = 35.675991632591035
72. Vre[72] = -159.19734029831946
73. Vre[73] = -38.55529134270859
74. Vre[74] = -24.340838029183573
75. Vre[75] = -18.68754315513971
76. Vre[76] = -15.711525625949575
77. Vre[77] = -13.975434710046352
78. Vre[78] = 220.48817664820552
79. Vre[79] = -12.426656063107963
80. Vre[80] = -12.29151184439478
81. Vre[81] = -12.530289245263003
82. Vre[82] = -246.63411681075831
83. Vre[83] = -14.411122539175478
84. Vre[84] = -16.51814390176318
85. Vre[85] = -20.32525556452659
86. Vre[86] = -28.48482283744319
87. Vre[87] = -57.5704078876592
88. Vre[88] = 139.2540684040691
89. Vre[89] = 17.997201650439013
90. Vre[90] = 0.02636745632223127
91. Vre[91] = -17.943185342266112
92. Vre[92] = -139.19610012546698
93. Vre[93] = 57.63533909035241
94. Vre[94] = 28.560356442541348
95. Vre[95] = 20.416057005031046
96. Vre[96] = 16.6304974218602
97. Vre[97] = 14.553870385201469
98. Vre[98] = 13.376220152963436
99. Vre[99] = 12.779616221107196
100. Vre[100] = 12.635945525606358
101. Vre[101] = 12.920435736780139
102. Vre[102] = 13.698098715851058
103. Vre[103] = 15.165653161517088
104. Vre[104] = 17.80974015430179
105. Vre[105] = 23.009501301525326
106. Vre[106] = 36.53947626762642
107. Vre[107] = 156.0260951698634
108. Vre[108] = -41.11065718472664
109. Vre[109] = -11.049251494663745
110. Vre[110] = -0.05339997511985299
111. Vre[111] = 10.940832272229052
112. Vre[112] = 40.9972403025073
113. Vre[113] = -156.148330503768
114. Vre[114] = -36.67517069893958
115. Vre[115] = -23.16464112805348
116. Vre[116] = -17.99245116333734
117. Vre[117] = 218.05653096349656
118. Vre[118] = -13.976155469041272
119. Vre[119] = -13.281321522073714
120. Vre[120] = -13.123189824248652
121. Vre[121] = -13.469150829080002
122. Vre[122] = -14.41185241255919
123. Vre[123] = -249.68456969467636
124. Vre[124] = -19.73381499026239
125. Vre[125] = -27.49647348700823
126. Vre[126] = -56.0223692605721
127. Vre[127] = 141.68425272914214
128. Vre[128] = 22.01275603403012
129. Vre[129] = 7.478020049215009
130. Vre[130] = 0.04297832319718578
131. Vre[131] = -7.3900726281547815
132. Vre[132] = -21.91865876103635
133. Vre[133] = -141.57928369336395
134. Vre[134] = 56.143979557689455
135. Vre[135] = 27.642225527014098
136. Vre[136] = 19.91398701476095
137. Vre[137] = 16.46992135847794
138. Vre[138] = 14.712618176134983
139. Vre[139] = 13.876461701668664
140. Vre[140] = 13.695918356778783
141. Vre[141] = 14.125475770879811
142. Vre[142] = 15.3017893404138
143. Vre[143] = 17.671741324012295
144. Vre[144] = 22.58026141938602
145. Vre[145] = 35.76213046904818
146. Vre[146] = 154.78371528790373
147. Vre[147] = -43.04552354894254
148. Vre[148] = -14.144817988734678
149. Vre[149] = -5.415382948892859
150. Vre[150] = -0.07276340931476143
151. Vre[151] = 5.267448764521825
152. Vre[152] = 13.989439060781153
153. Vre[153] = 42.87695481761646
154. Vre[154] = -154.97254290144798
155. Vre[155] = -35.98049122435264
156. Vre[156] = 210.60299967691975
157. Vre[157] = -17.993591023633055
158. Vre[158] = -15.713389675162341
159. Vre[159] = -14.67311511662034
160. Vre[160] = -14.45938986295538
161. Vre[161] = -15.005185869938261
162. Vre[162] = -16.520040166804666
163. Vre[163] = -19.734984946794246
164. Vre[164] = -260.6633430471714
165. Vre[165] = -55.43137619321633
166. Vre[166] = 142.67215077665313
167. Vre[167] = 23.560339504976685
168. Vre[168] = 9.907745306881775
169. Vre[169] = 4.0580696692079306
170. Vre[170] = 0.06111289719633316
171. Vre[171] = -3.9329662537496524
172. Vre[172] = -9.7737315064733
173. Vre[173] = -23.410497818922444
174. Vre[174] = -142.4978984123749
175. Vre[175] = 55.64142142121924
176. Vre[176] = 27.481156909248007
177. Vre[177] = 20.072237776674015
178. Vre[178] = 16.969661336038154
179. Vre[179] = 15.628414129985428
180. Vre[180] = 15.365481084835725
181. Vre[181] = 16.076756347305146
182. Vre[182] = 18.098597943130393
183. Vre[183] = 22.715872266602723
184. Vre[184] = 35.62360133719414
185. Vre[185] = 154.3539400589816
186. Vre[186] = -43.82340981600891
187. Vre[187] = -15.387743538617213
188. Vre[188] = -7.350800259465398
189. Vre[189] = -3.1688862084362035
