Fs = 100.0
0. Vre[0] = -11.687901622627393
1. Vre[1] = -11.833952177484257
2. Vre[2] = -12.290983286039094
3. Vre[3] = -13.121935972289254
4. Vre[4] = -14.456981255660274
5. Vre[5] = -16.551547578029655
6. Vre[6] = -19.937628454698732
7. Vre[7] = -25.88980458324014
8. Vre[8] = -38.36762098574059
9. Vre[9] = -79.57309248197922
10. Vre[10] = -0.0045836399563654595
11. Vre[11] = 79.5640583793379
12. Vre[12] = 38.358997039008436
13. Vre[13] = 25.88190120495166
14. Vre[14] = 19.930817360359185
15. Vre[15] = 16.546299470906618
16. Vre[16] = 14.453920702323071
17. Vre[17] = 13.121925897402004
18. Vre[18] = 12.295261321453788
19. Vre[19] = 11.84436079204558
20. Vre[20] = 11.707295499726285
21. Vre[21] = 11.866959490105707
22. Vre[22] = 12.345522751567486
23. Vre[23] = 13.212488165067603
24. Vre[24] = 14.612385234292159
25. Vre[25] = 16.836207868582605
26. Vre[26] = 20.520880200930588
27. Vre[27] = 27.346368388392378
28. Vre[28] = 43.83523902811601
29. Vre[29] = 170.13416336289922
30. Vre[30] = -0.0199841788471673
31. Vre[31] = -170.17453452658543
32. Vre[32] = -43.87685086692186
33. Vre[33] = -27.39016031925526
34. Vre[34] = -20.56797796492542
35. Vre[35] = -16.888038393238205
36. Vre[36] = -14.670844298055721
37. Vre[37] = -13.280199297749927
38. Vre[38] = -12.42625645146267
39. Vre[39] = 221.47766335678443
40. Vre[40] = -11.834080306196794
41. Vre[41] = -245.45680453268497
42. Vre[42] = -12.529887994960692
43. Vre[43] = -13.468021589631924
44. Vre[44] = -15.00289566660112
45. Vre[45] = -17.506827819736323
46. Vre[46] = -21.87363080690661
47. Vre[47] = -30.915345859331236
48. Vre[48] = -61.58630308374258
49. Vre[49] = 131.8020728484502
50. Vre[50] = 0.010692837034060432
51. Vre[51] = -131.7800074095356
52. Vre[52] = 61.61046288416531
53. Vre[53] = 30.943188092819693
54. Vre[54] = 21.907062290753757
55. Vre[55] = 17.54827172397002
56. Vre[56] = 15.055581357975257
57. Vre[57] = 13.536434756712813
58. Vre[58] = 12.620504489872948
59. Vre[59] = 12.135337516912877
60. Vre[60] = 12.00376458190783
61. Vre[61] = 12.20819685214569
62. Vre[62] = 12.783925299692312
63. Vre[63] = 13.835720607109716
64. Vre[64] = 15.594513382208493
65. Vre[65] = 18.5867035268719
66. Vre[66] = 24.251495950224353
67. Vre[67] = 38.47395454803849
68. Vre[68] = 159.12127068576177
69. Vre[69] = -35.7490681279419
70. Vre[70] = -0.03605271393536569
71. Vre[71] = 35.67599163259216
72. Vre[72] = -159.19734029831727
73. Vre[73] = -38.555291342709964
74. Vre[74] = -24.340838029184887
75. Vre[75] = -18.68754315513981
76. Vre[76] = -15.711525625948255
