Fs = 100.0
0. [0] = 0.0
1. [1] = 0.3024600241613878
2. [2] = 0.2719280917079613
3. [3] = -0.1172251604856439
4. [4] = -0.8466356941012442
5. [5] = -1.8547174248162166
6. [6] = -3.041521818037362
7. [7] = -4.277318178622066
8. [8] = -5.414210976184973
9. [9] = -6.299846473443987
10. [10] = -6.792070083931976
11. [11] = -6.77329401107295
12. [12] = -6.163330861824164
13. [13] = -4.929544713572933
14. [14] = -3.0933605620816023
15. [15] = -0.7324429743133191
16. [16] = 2.0218144268062717
17. [17] = 4.991479781109511
18. [18] = 7.963569213577118
19. [19] = 10.705087504833653
20. [20] = 12.98057396393502
21. [21] = 14.57086844169766
22. [22] = 15.291668824840668
23. [23] = 15.010413199569745
24. [24] = 13.66009278559008
25. [25] = 11.248783169514432
26. [26] = 7.863960628196094
27. [27] = 3.6710292380574496
28. [28] = -1.0941014978660049
29. [29] = -6.1381087822339895
30. [30] = -11.128304548897312
31. [31] = -15.714529393193027
32. [32] = -19.553454530843748
33. [33] = -22.333620276763007
34. [34] = -23.799420010788396
35. [35] = -23.77224529376191
36. [36] = -22.16714403623875
37. [37] = -19.003603490624478
38. [38] = -14.409438393520889
39. [39] = -8.617218708655942
40. [40] = -1.9531812648354998
41. [41] = 5.180899468691039
42. [42] = 12.331891223917538
43. [43] = 19.024082010212002
44. [44] = 24.790728958562124
45. [45] = 29.206291418853805
46. [46] = 31.917140396099636
47. [47] = 32.668565216705076
48. [48] = 31.326079720841214
49. [49] = 27.889356103913084
50. [50] = 22.497566339028868
51. [51] = 15.42546123223081
52. [52] = 7.070130384406947
53. [53] = -2.070977835246357
54. [54] = -11.42958187036686
55. [55] = -20.401891672978397
56. [56] = -28.387536968348783
57. [57] = -34.82959088306536
58. [58] = -39.253029577341046
59. [59] = -41.2989935481328
60. [60] = -40.75242050359185
61. [61] = -37.56099406140455
62. [62] = -31.843876119424806
63. [63] = -23.88933207346885
64. [64] = -14.141076855230127
65. [65] = -3.1739195553576987
66. [66] = 8.33998451057597
67. [67] = 19.672302666725734
68. [68] = 30.084594806847008
69. [69] = 38.87637041229058
70. [70] = 45.43200887377258
71. [71] = 49.26341235050161
72. [72] = 50.045461608569454
73. [73] = 47.64174624211269
74. [74] = 42.11861942223599
75. [75] = 33.74634950854332
76. [76] = 22.986961836265525
77. [77] = 10.469231530756455
78. [78] = -3.0478541726267014
79. [79] = -16.72105495849965
80. [80] = -29.675478797059473
81. [81] = -41.06054454350449
82. [82] = -50.105727235286984
83. [83] = -56.17243887791907
84. [84] = -58.79856708547721
85. [85] = -57.73259571342179
86. [86] = -52.954844086570354
87. [87] = -44.684148748225155
88. [88] = -33.36922575341682
89. [89] = -19.66493500180441
90. [90] = -4.394657845879905
91. [91] = 11.49906955246079
92. [92] = 27.01271410953383
93. [93] = 41.14510760348192
94. [94] = 52.96201186601905
95. [95] = 61.65772632869136
96. [96] = 66.60968430490358
97. [97] = 67.42235800043386
98. [98] = 63.957412763384156
99. [99] = 56.347882740558966
100. [100] = 44.99513267805777
101. [101] = 30.548462440300256
102. [102] = 13.868332677105968
103. [103] = -4.0247305100070365
104. [104] = -22.012528046632436
105. [105] = -38.949065921140544
106. [106] = -53.73355211866017
107. [107] = -65.38186358750876
108. [108] = -73.09184817849717
109. [109] = -76.29814062282162
110. [110] = -74.71277092325167
111. [111] = -68.34869411173604
112. [112] = -57.524421377025305
113. [113] = -42.84911943336503
114. [114] = -25.188793148378966
115. [115] = -5.615396136402406
116. [116] = 14.658154594345321
117. [117] = 34.35312555234166
118. [118] = 52.20562040011661
119. [119] = 67.04765331974752
120. [120] = 77.88344378361
121. [121] = 83.95595625930552
122. [122] = 84.79925439229825
123. [123] = 80.27307928465562
124. [124] = 70.57714605888214
125. [125] = 56.24391584757246
126. [126] = 38.109963044335274
127. [127] = 17.26743382345549
