Fs = 100.0
0. [0] = 0.0
1. [1] = -3.688170196535055
2. [2] = -4.150309271896859
3. [3] = -7.804641661912716
4. [4] = 0.7821157218073792
5. [5] = 4.187927499549568
6. [6] = 6.336059340079658
7. [7] = 7.816865553322314
8. [8] = 8.840501727994901
9. [9] = 9.498449637064395
10. [10] = 9.825171563558571
11. [11] = 9.813149254411972
12. [12] = 9.40330480118498
13. [13] = 8.433218080800827
14. [14] = 6.409455421468401
15. [15] = 0.1528881538356281
16. [16] = 4.562562889917381
17. [17] = 8.48744314096425
18. [18] = 10.516227568183922
19. [19] = 11.801052194588115
20. [20] = 12.638088939834534
21. [21] = 13.140004348591765
22. [22] = 13.349698816661846
23. [23] = 13.269076452933241
24. [24] = 12.859686471140282
25. [25] = 12.016205432707194
26. [26] = 10.46156328317313
27. [27] = 7.1530284130531685
28. [28] = 1.8957261043128317
29. [29] = 9.385495787517291
30. [30] = 11.969440003386008
31. [31] = 13.468163774585946
32. [32] = 14.41738493637881
33. [33] = 14.994741256854338
34. [34] = 15.270813713093697
35. [35] = 15.265852007061325
36. [36] = 14.962247410502593
37. [37] = 14.293509581378675
38. [38] = 13.091620523900563
39. [39] = 10.858821134951038
40. [40] = 4.4125754765584
41. [41] = 8.64920163055546
42. [42] = 12.415446831160487
43. [43] = 14.298187072946726
44. [44] = 15.448042949921696
45. [45] = 16.15991412094816
46. [46] = 16.545389718068314
47. [47] = 16.64645058779696
48. [48] = 16.464210466513187
49. [49] = 15.959534854309357
50. [50] = 15.026505389347008
51. [51] = 13.387531564444316
52. [52] = 9.99942420781129
53. [53] = 4.66690448689851
54. [54] = 12.085453406757463
55. [55] = 14.60185435113182
56. [56] = 16.036427106305236
57. [57] = 16.924633709904654
58. [58] = 17.443881793704836
59. [59] = 17.664544659092588
60. [60] = 17.60668406739501
61. [61] = 17.252520752937393
62. [62] = 16.53540923569126
63. [63] = 15.28719005226828
