Fs = 100.0
0. [0] = 0.0
1. [1] = 0.42774306824472863
2. [2] = 0.3845643952836336
3. [3] = 0.16578141181016023
4. [4] = 1.1973236809871386
5. [5] = 2.6229665365447947
6. [6] = 4.30136140532211
7. [7] = 6.04904137879231
8. [8] = 7.656850592070063
9. [9] = 8.909328323612801
10. [10] = 9.605437629285166
11. [11] = 9.578884252399826
12. [12] = 8.71626609418439
13. [13] = 6.971428990259437
14. [14] = 4.374672460205862
15. [15] = 1.0358307879387842
16. [16] = 2.8592773829910145
17. [17] = 7.059018402756159
18. [18] = 11.262187586737603
19. [19] = 15.139279935726508
20. [20] = 18.357303747183995
21. [21] = 20.606319765802958
22. [22] = 21.62568544340752
23. [23] = 21.22792992365566
24. [24] = 19.318288480656364
25. [25] = 15.90818171852152
26. [26] = 11.121319774362961
27. [27] = 5.191619336329015
28. [28] = 1.547293176894822
29. [29] = 8.68059668715671
30. [30] = 15.737799219268785
31. [31] = 22.223700594164224
32. [32] = 27.652760588764874
33. [33] = 31.584508692289
34. [34] = 33.65746255587058
35. [35] = 33.61903170249807
36. [36] = 31.34907573512671
37. [37] = 26.87515379040183
38. [38] = 20.378023202296824
39. [39] = 12.186587567716401
40. [40] = 2.7622154345034
41. [41] = 7.32689829391443
42. [42] = 17.439927818573928
43. [43] = 26.904114790539825
44. [44] = 35.05938511431399
45. [45] = 41.303933431164
46. [46] = 45.13765282033029
47. [47] = 46.200327992734266
48. [48] = 44.301766797194425
49. [49] = 39.441505648006746
50. [50] = 31.816363437043048
51. [51] = 21.814896480481206
52. [52] = 9.998674277374407
53. [53] = 2.9288049419794713
54. [54] = 16.16386969332646
55. [55] = 28.852631901992762
56. [56] = 40.146039783006465
57. [57] = 49.25647979873733
58. [58] = 55.51216679250795
59. [59] = 58.40559678812835
60. [60] = 57.63262577571099
61. [61] = 53.1192672178536
62. [62] = 45.03404148661928
63. [63] = 33.78461741433422
