Fs = 100.0
0. Vim[0] = 0.0
1. Vim[1] = 0.3024600241613878
2. Vim[2] = 0.2719280917079613
3. Vim[3] = -0.1172251604856439
4. Vim[4] = -0.8466356941012442
5. Vim[5] = -1.8547174248162166
6. Vim[6] = -3.041521818037362
7. Vim[7] = -4.277318178622066
8. Vim[8] = -5.414210976184973
9. Vim[9] = -6.299846473443987
10. Vim[10] = -6.792070083931976
11. Vim[11] = -6.77329401107295
12. Vim[12] = -6.163330861824164
13. Vim[13] = -4.929544713572933
14. Vim[14] = -3.0933605620816023
15. Vim[15] = -0.7324429743133191
16. Vim[16] = 2.0218144268062717
17. Vim[17] = 4.991479781109511
18. Vim[18] = 7.963569213577118
19. Vim[19] = 10.705087504833653
20. Vim[20] = 12.98057396393502
21. Vim[21] = 14.57086844169766
22. Vim[22] = 15.291668824840668
23. Vim[23] = 15.010413199569745
24. Vim[24] = 13.66009278559008
25. Vim[25] = 11.248783169514432
26. Vim[26] = 7.863960628196094
27. Vim[27] = 3.6710292380574496
28. Vim[28] = -1.0941014978660049
29. Vim[29] = -6.1381087822339895
30. Vim[30] = -11.128304548897312
31. Vim[31] = -15.714529393193027
32. Vim[32] = -19.553454530843748
33. Vim[33] = -22.333620276763007
34. Vim[34] = -23.799420010788396
35. Vim[35] = -23.77224529376191
36. Vim[36] = -22.16714403623875
37. Vim[37] = -19.003603490624478
38. Vim[38] = -14.409438393520889
39. Vim[39] = -8.617218708655942
40. Vim[40] = -1.9531812648354998
41. Vim[41] = 5.180899468691039
42. Vim[42] = 12.331891223917538
43. Vim[43] = 19.024082010212002
44. Vim[44] = 24.790728958562124
45. Vim[45] = 29.206291418853805
46. Vim[46] = 31.917140396099636
47. Vim[47] = 32.668565216705076
48. Vim[48] = 31.326079720841214
49. Vim[49] = 27.889356103913084
50. Vim[50] = 22.497566339028868
51. Vim[51] = 15.42546123223081
52. Vim[52] = 7.070130384406947
53. Vim[53] = -2.070977835246357
54. Vim[54] = -11.42958187036686
55. Vim[55] = -20.401891672978397
56. Vim[56] = -28.387536968348783
57. Vim[57] = -34.82959088306536
58. Vim[58] = -39.253029577341046
59. Vim[59] = -41.2989935481328
60. Vim[60] = -40.75242050359185
61. Vim[61] = -37.56099406140455
62. Vim[62] = -31.843876119424806
63. Vim[63] = -23.88933207346885
64. Vim[64] = -14.141076855230127
65. Vim[65] = -3.1739195553576987
66. Vim[66] = 8.33998451057597
67. Vim[67] = 19.672302666725734
68. Vim[68] = 30.084594806847008
69. Vim[69] = 38.87637041229058
70. Vim[70] = 45.43200887377258
71. Vim[71] = 49.26341235050161
72. Vim[72] = 50.045461608569454
73. Vim[73] = 47.64174624211269
74. Vim[74] = 42.11861942223599
75. Vim[75] = 33.74634950854332
76. Vim[76] = 22.986961836265525
77. Vim[77] = 10.469231530756455
78. Vim[78] = -3.0478541726267014
79. Vim[79] = -16.72105495849965
80. Vim[80] = -29.675478797059473
81. Vim[81] = -41.06054454350449
82. Vim[82] = -50.105727235286984
83. Vim[83] = -56.17243887791907
84. Vim[84] = -58.79856708547721
85. Vim[85] = -57.73259571342179
86. Vim[86] = -52.954844086570354
87. Vim[87] = -44.684148748225155
88. Vim[88] = -33.36922575341682
89. Vim[89] = -19.66493500180441
90. Vim[90] = -4.394657845879905
91. Vim[91] = 11.49906955246079
92. Vim[92] = 27.01271410953383
93. Vim[93] = 41.14510760348192
94. Vim[94] = 52.96201186601905
95. Vim[95] = 61.65772632869136
96. Vim[96] = 66.60968430490358
97. Vim[97] = 67.42235800043386
98. Vim[98] = 63.957412763384156
99. Vim[99] = 56.347882740558966
100. Vim[100] = 44.99513267805777
101. Vim[101] = 30.548462440300256
102. Vim[102] = 13.868332677105968
103. Vim[103] = -4.0247305100070365
104. Vim[104] = -22.012528046632436
105. Vim[105] = -38.949065921140544
106. Vim[106] = -53.73355211866017
107. Vim[107] = -65.38186358750876
108. Vim[108] = -73.09184817849717
109. Vim[109] = -76.29814062282162
110. Vim[110] = -74.71277092325167
111. Vim[111] = -68.34869411173604
112. Vim[112] = -57.524421377025305
113. Vim[113] = -42.84911943336503
114. Vim[114] = -25.188793148378966
115. Vim[115] = -5.615396136402406
116. Vim[116] = 14.658154594345321
117. Vim[117] = 34.35312555234166
118. Vim[118] = 52.20562040011661
119. Vim[119] = 67.04765331974752
120. Vim[120] = 77.88344378361
121. Vim[121] = 83.95595625930552
122. Vim[122] = 84.79925439229825
123. Vim[123] = 80.27307928465562
124. Vim[124] = 70.57714605888214
125. Vim[125] = 56.24391584757246
126. Vim[126] = 38.109963044335274
127. Vim[127] = 17.26743382345549
128. Vim[128] = 0.0
129. Vim[129] = 0.3020956978161008
130. Vim[130] = 0.27061868362087954
131. Vim[131] = -0.11595637512925058
132. Vim[132] = -0.8303678266384724
133. Vim[133] = -1.799133867916232
134. Vim[134] = -2.9105549096895116
135. Vim[135] = -4.027283545981054
136. Vim[136] = -5.00207870559525
137. Vim[137] = -5.694993760314847
138. Vim[138] = -5.990071035963926
139. Vim[139] = -5.809648057240769
140. Vim[140] = -5.124622322173249
141. Vim[141] = -3.9594474407123785
142. Vim[142] = -2.39120005050911
143. Vim[143] = -0.5427044460757872
144. Vim[144] = 1.4296386914955075
145. Vim[145] = 3.352072944941928
146. Vim[146] = 5.052034827065688
147. Vim[147] = 6.377013181160047
148. Vim[148] = 7.211620501871562
149. Vim[149] = 7.4909234511551785
150. Vim[150] = 7.208442784653732
151. Vim[151] = 6.417778617969184
152. Vim[152] = 5.227491193615213
153. Vim[153] = 3.7896009128185897
154. Vim[154] = 2.282787272897702
155. Vim[155] = 0.8919873446933412
156. Vim[156] = -0.21344861353700723
157. Vim[157] = -0.900647613875816
158. Vim[158] = -1.0907645885993573
159. Vim[159] = -0.771075410473835
160. Vim[160] = -1.1973037751735554E-15
161. Vim[161] = 1.0958588062924264
162. Vim[162] = 2.3327510909596
163. Vim[163] = 3.4881128308229226
164. Vim[164] = 4.324595268207713
165. Vim[165] = 4.6174989949622285
166. Vim[166] = 4.182839173481267
167. Vim[167] = 2.9030535474077954
168. Vim[168] = 0.7474501104584363
169. Vim[169] = -2.2151199563890946
170. Vim[170] = -5.813213281847886
171. Vim[171] = -9.78033276720689
172. Vim[172] = -13.772991064234153
173. Vim[173] = -17.398167485014536
174. Vim[174] = -20.2480195169938
175. Vim[175] = -21.938867513282123
176. Vim[176] = -22.15088339859721
177. Vim[177] = -20.664649790619592
178. Vim[178] = -17.390853955290957
179. Vim[179] = -12.389846638290495
180. Vim[180] = -5.87859856965129
181. Vim[181] = 1.7763369399672302
182. Vim[182] = 10.079991294086977
183. Vim[183] = 18.443091631836808
184. Vim[184] = 26.226664383464943
