Fs = 100.0
0. Vim[0] = 0.0
1. Vim[1] = 0.0
2. Vim[2] = 0.0
3. Vim[3] = 0.0
4. Vim[4] = 0.0
5. Vim[5] = 0.0
6. Vim[6] = 0.0
7. Vim[7] = 0.0
8. Vim[8] = 0.0
9. Vim[9] = 0.0
10. Vim[10] = 0.0
11. Vim[11] = 0.0
12. Vim[12] = 0.0
13. Vim[13] = 0.0
14. Vim[14] = 0.0
15. Vim[15] = 0.0
16. Vim[16] = 0.0
17. Vim[17] = 0.0
18. Vim[18] = 0.0
19. Vim[19] = 0.0
20. Vim[20] = 0.0
21. Vim[21] = 0.0
22. Vim[22] = 0.0
23. Vim[23] = 0.0
24. Vim[24] = 0.0
25. Vim[25] = 0.0
26. Vim[26] = 0.0
27. Vim[27] = 0.0
28. Vim[28] = 0.0
29. Vim[29] = 0.0
30. Vim[30] = 0.0
31. Vim[31] = 0.0
32. Vim[32] = 0.0
33. Vim[33] = 0.0
34. Vim[34] = 0.0
35. Vim[35] = 0.0
36. Vim[36] = 0.0
37. Vim[37] = 0.0
38. Vim[38] = 0.0
39. Vim[39] = 0.0
40. Vim[40] = 0.0
41. Vim[41] = 0.0
42. Vim[42] = 0.0
43. Vim[43] = 0.0
44. Vim[44] = 0.0
45. Vim[45] = 0.0
46. Vim[46] = 0.0
47. Vim[47] = 0.0
48. Vim[48] = 0.0
49. Vim[49] = 0.0
50. Vim[50] = 0.0
51. Vim[51] = 0.0
52. Vim[52] = 0.0
53. Vim[53] = 0.0
54. Vim[54] = 0.0
55. Vim[55] = 0.0
56. Vim[56] = 0.0
57. Vim[57] = 0.0
58. Vim[58] = 0.0
59. Vim[59] = 0.0
60. Vim[60] = 0.0
61. Vim[61] = 0.0
62. Vim[62] = 0.0
63. Vim[63] = 0.0
64. Vim[64] = 0.0
65. Vim[65] = 0.0
66. Vim[66] = 0.0
67. Vim[67] = 0.0
68. Vim[68] = 0.0
69. Vim[69] = 0.0
70. Vim[70] = 0.0
71. Vim[71] = 0.0
72. Vim[72] = 0.0
73. Vim[73] = 0.0
74. Vim[74] = 0.0
75. Vim[75] = 0.0
76. Vim[76] = 0.0
77. Vim[77] = 0.0
78. Vim[78] = 0.0
79. Vim[79] = 0.0
80. Vim[80] = 0.0
81. Vim[81] = 0.0
82. Vim[82] = 0.0
83. Vim[83] = 0.0
84. Vim[84] = 0.0
85. Vim[85] = 0.0
86. Vim[86] = 0.0
87. Vim[87] = 0.0
88. Vim[88] = 0.0
89. Vim[89] = 0.0
90. Vim[90] = 0.0
91. Vim[91] = 0.0
92. Vim[92] = 0.0
93. Vim[93] = 0.0
94. Vim[94] = 0.0
95. Vim[95] = 0.0
96. Vim[96] = 0.0
97. Vim[97] = 0.0
98. Vim[98] = 0.0
99. Vim[99] = 0.0
100. Vim[100] = 0.0
101. Vim[101] = 0.0
102. Vim[102] = 0.0
103. Vim[103] = 0.0
104. Vim[104] = 0.0
105. Vim[105] = 0.0
106. Vim[106] = 0.0
107. Vim[107] = 0.0
108. Vim[108] = 0.0
109. Vim[109] = 0.0
110. Vim[110] = 0.0
111. Vim[111] = 0.0
112. Vim[112] = 0.0
113. Vim[113] = 0.0
114. Vim[114] = 0.0
115. Vim[115] = 0.0
116. Vim[116] = 0.0
117. Vim[117] = 0.0
118. Vim[118] = 0.0
119. Vim[119] = 0.0
120. Vim[120] = 0.0
121. Vim[121] = 0.0
122. Vim[122] = 0.0
123. Vim[123] = 0.0
124. Vim[124] = 0.0
125. Vim[125] = 0.0
126. Vim[126] = 0.0
127. Vim[127] = 0.0
