Fs = 100.0
0. Vre[0] = 0.0
1. Vre[1] = 0.3024600241613878
2. Vre[2] = 0.2719280917079613
3. Vre[3] = -0.1172251604856439
4. Vre[4] = -0.8466356941012442
5. Vre[5] = -1.8547174248162166
6. Vre[6] = -3.041521818037362
7. Vre[7] = -4.277318178622066
8. Vre[8] = -5.414210976184973
9. Vre[9] = -6.299846473443987
10. Vre[10] = -6.792070083931976
11. Vre[11] = -6.77329401107295
12. Vre[12] = -6.163330861824164
13. Vre[13] = -4.929544713572933
14. Vre[14] = -3.0933605620816023
15. Vre[15] = -0.7324429743133191
16. Vre[16] = 2.0218144268062717
17. Vre[17] = 4.991479781109511
18. Vre[18] = 7.963569213577118
19. Vre[19] = 10.705087504833653
20. Vre[20] = 12.98057396393502
21. Vre[21] = 14.57086844169766
22. Vre[22] = 15.291668824840668
23. Vre[23] = 15.010413199569745
24. Vre[24] = 13.66009278559008
25. Vre[25] = 11.248783169514432
26. Vre[26] = 7.863960628196094
27. Vre[27] = 3.6710292380574496
28. Vre[28] = -1.0941014978660049
29. Vre[29] = -6.1381087822339895
30. Vre[30] = -11.128304548897312
31. Vre[31] = -15.714529393193027
32. Vre[32] = -19.553454530843748
33. Vre[33] = -22.333620276763007
34. Vre[34] = -23.799420010788396
35. Vre[35] = -23.77224529376191
36. Vre[36] = -22.16714403623875
37. Vre[37] = -19.003603490624478
38. Vre[38] = -14.409438393520889
39. Vre[39] = -8.617218708655942
40. Vre[40] = -1.9531812648354998
41. Vre[41] = 5.180899468691039
42. Vre[42] = 12.331891223917538
43. Vre[43] = 19.024082010212002
44. Vre[44] = 24.790728958562124
45. Vre[45] = 29.206291418853805
46. Vre[46] = 31.917140396099636
47. Vre[47] = 32.668565216705076
48. Vre[48] = 31.326079720841214
49. Vre[49] = 27.889356103913084
50. Vre[50] = 22.497566339028868
51. Vre[51] = 15.42546123223081
52. Vre[52] = 7.070130384406947
53. Vre[53] = -2.070977835246357
54. Vre[54] = -11.42958187036686
55. Vre[55] = -20.401891672978397
56. Vre[56] = -28.387536968348783
57. Vre[57] = -34.82959088306536
58. Vre[58] = -39.253029577341046
59. Vre[59] = -41.2989935481328
60. Vre[60] = -40.75242050359185
61. Vre[61] = -37.56099406140455
62. Vre[62] = -31.843876119424806
63. Vre[63] = -23.88933207346885
64. Vre[64] = -14.141076855230127
65. Vre[65] = -3.1739195553576987
66. Vre[66] = 8.33998451057597
67. Vre[67] = 19.672302666725734
68. Vre[68] = 30.084594806847008
69. Vre[69] = 38.87637041229058
70. Vre[70] = 45.43200887377258
71. Vre[71] = 49.26341235050161
72. Vre[72] = 50.045461608569454
73. Vre[73] = 47.64174624211269
74. Vre[74] = 42.11861942223599
75. Vre[75] = 33.74634950854332
76. Vre[76] = 22.986961836265525
77. Vre[77] = 10.469231530756455
78. Vre[78] = -3.0478541726267014
79. Vre[79] = -16.72105495849965
80. Vre[80] = -29.675478797059473
81. Vre[81] = -41.06054454350449
82. Vre[82] = -50.105727235286984
83. Vre[83] = -56.17243887791907
84. Vre[84] = -58.79856708547721
85. Vre[85] = -57.73259571342179
86. Vre[86] = -52.954844086570354
87. Vre[87] = -44.684148748225155
88. Vre[88] = -33.36922575341682
89. Vre[89] = -19.66493500180441
90. Vre[90] = -4.394657845879905
91. Vre[91] = 11.49906955246079
92. Vre[92] = 27.01271410953383
93. Vre[93] = 41.14510760348192
94. Vre[94] = 52.96201186601905
95. Vre[95] = 61.65772632869136
96. Vre[96] = 66.60968430490358
97. Vre[97] = 67.42235800043386
98. Vre[98] = 63.957412763384156
99. Vre[99] = 56.347882740558966
100. Vre[100] = 44.99513267805777
101. Vre[101] = 30.548462440300256
102. Vre[102] = 13.868332677105968
103. Vre[103] = -4.0247305100070365
104. Vre[104] = -22.012528046632436
105. Vre[105] = -38.949065921140544
106. Vre[106] = -53.73355211866017
107. Vre[107] = -65.38186358750876
108. Vre[108] = -73.09184817849717
109. Vre[109] = -76.29814062282162
110. Vre[110] = -74.71277092325167
111. Vre[111] = -68.34869411173604
112. Vre[112] = -57.524421377025305
113. Vre[113] = -42.84911943336503
114. Vre[114] = -25.188793148378966
115. Vre[115] = -5.615396136402406
116. Vre[116] = 14.658154594345321
117. Vre[117] = 34.35312555234166
118. Vre[118] = 52.20562040011661
119. Vre[119] = 67.04765331974752
120. Vre[120] = 77.88344378361
121. Vre[121] = 83.95595625930552
122. Vre[122] = 84.79925439229825
123. Vre[123] = 80.27307928465562
124. Vre[124] = 70.57714605888214
125. Vre[125] = 56.24391584757246
126. Vre[126] = 38.109963044335274
127. Vre[127] = 17.26743382345549
